# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       3.089765820748e-10       7.612300852155e-14      -1.943419948475e-12       0.000000000000e+00       1.456004719583e-11       2.402328687297e-12      -8.282198133591e-15 
   86       3.128399093141e-10       7.823977437635e-14      -2.026900996745e-12       0.000000000000e+00       1.413794640471e-11       2.341891942622e-12      -8.181709529482e-15 
   87       3.167362471141e-10       8.036141261493e-14      -2.111326638719e-12       0.000000000000e+00       1.373186734748e-11       2.283632280597e-12      -8.077675550344e-15 
   88       3.206657204642e-10       8.248605517892e-14      -2.196637560015e-12       0.000000000000e+00       1.334140031849e-11       2.227506994163e-12      -7.972236318116e-15 
   89       3.246282112824e-10       8.461178668779e-14      -2.282772617236e-12       0.000000000000e+00       1.296593026523e-11       2.173445293752e-12      -7.867710772081e-15 
   90       3.286233468795e-10       8.673664447891e-14      -2.369668845719e-12       0.000000000000e+00       1.260462892418e-11       2.121347212022e-12      -7.766601342832e-15 
   91       3.326504884236e-10       8.885861864753e-14      -2.457261467301e-12       0.000000000000e+00       1.225644695670e-11       2.071082508596e-12      -7.671598626251e-15 
   92       3.367087194045e-10       9.097565208685e-14      -2.545483898071e-12       0.000000000000e+00       1.192010608487e-11       2.022489574789e-12      -7.585586057472e-15 
   93       3.407971360092e-10       9.308567866137e-14      -2.634268515152e-12       0.000000000000e+00       1.159440271150e-11       1.975413835118e-12      -7.510929696005e-15 
   94       3.449157932618e-10       9.518674420760e-14      -2.723549072119e-12       0.000000000000e+00       1.127918809698e-11       1.929831937469e-12      -7.447215241516e-15 
   95       3.490648805167e-10       9.727690389056e-14      -2.813258662889e-12       0.000000000000e+00       1.097452174704e-11       1.885744303015e-12      -7.393177723083e-15 
   96       3.532444249350e-10       9.935418624785e-14      -2.903329013004e-12       0.000000000000e+00       1.068036952358e-11       1.843136748020e-12      -7.347380991604e-15 
   97       3.574542840925e-10       1.014165937531e-13      -2.993690497804e-12       0.000000000000e+00       1.039660005624e-11       1.801979930743e-12      -7.308212580611e-15 
   98       3.616941385886e-10       1.034621033796e-13      -3.084272160606e-12       0.000000000000e+00       1.012298115396e-11       1.762228798335e-12      -7.273878567077e-15 
   99       3.659634846548e-10       1.054886671635e-13      -3.175001730875e-12       0.000000000000e+00       9.859176216529e-12       1.723822033742e-12      -7.242398432224e-15 
  100       3.702616267638e-10       1.074942127675e-13      -3.265805642406e-12       0.000000000000e+00       9.604740646169e-12       1.686681502601e-12      -7.211599922337e-15 
  101       3.745876702376e-10       1.094766440443e-13      -3.356609051497e-12       0.000000000000e+00       9.359118259067e-12       1.650711700145e-12      -7.179113909569e-15 
  102       3.789405138564e-10       1.114338415999e-13      -3.447335855123e-12       0.000000000000e+00       9.121637696955e-12       1.615799198098e-12      -7.142369252751e-15 
  103       3.833188424674e-10       1.133636633573e-13      -3.537908709117e-12       0.000000000000e+00       8.891508838663e-12       1.581812091579e-12      -7.098587658204e-15 
  104       3.877213893584e-10       1.152639985614e-13      -3.628250010261e-12       0.000000000000e+00       8.668002051116e-12       1.548631033952e-12      -7.045431296410e-15 
  105       3.921477796648e-10       1.171329368886e-13      -3.718284954503e-12       0.000000000000e+00       8.451021248337e-12       1.516248307266e-12      -6.983056354401e-15 
  106       3.965977876453e-10       1.189686233379e-13      -3.807938927671e-12       0.000000000000e+00       8.240601914858e-12       1.484681165954e-12      -6.912328598848e-15 
  107       4.010710727177e-10       1.207692079669e-13      -3.897136606865e-12       0.000000000000e+00       8.036733618900e-12       1.453941240464e-12      -6.834197401482e-15 
  108       4.055671750313e-10       1.225328470422e-13      -3.985801989229e-12       0.000000000000e+00       7.839358433157e-12       1.424034331283e-12      -6.749697773047e-15 
  109       4.100855110405e-10       1.242577041900e-13      -4.073858420718e-12       0.000000000000e+00       7.648369355583e-12       1.394960202954e-12      -6.659952397250e-15 
  110       4.146253690778e-10       1.259419515470e-13      -4.161228624868e-12       0.000000000000e+00       7.463608730173e-12       1.366712378097e-12      -6.566173664711e-15 
  111       4.191859049268e-10       1.275837709113e-13      -4.247834731563e-12       0.000000000000e+00       7.284866667756e-12       1.339277931432e-12      -6.469665706914e-15 
  112       4.237661373955e-10       1.291813548929e-13      -4.333598305801e-12       0.000000000000e+00       7.111879466772e-12       1.312637283796e-12      -6.371826430161e-15 
  113       4.283649438892e-10       1.307329080645e-13      -4.418440376472e-12       0.000000000000e+00       6.944328034063e-12       1.286763996166e-12      -6.274149549515e-15 
  114       4.329810559837e-10       1.322366481122e-13      -4.502281465114e-12       0.000000000000e+00       6.781836305654e-12       1.261624563677e-12      -6.178226622760e-15 
  115       4.376130549985e-10       1.336908069865e-13      -4.585041614693e-12       0.000000000000e+00       6.623969667544e-12       1.237178209644e-12      -6.085749084344e-15 
