# Matter power spectrum P(k) at redshift z=0
# for k=1.05911e-05 to 1.12045 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.396499924806e-02       1.647036329627e+04 
       3.412076504549e-02       1.640154047644e+04 
       3.427720547456e-02       1.633256959643e+04 
       3.443433980806e-02       1.626385074353e+04 
       3.459218801191e-02       1.619510657794e+04 
       3.475077077723e-02       1.612626117864e+04 
       3.491010955419e-02       1.605749622891e+04 
       3.507022658793e-02       1.598873514130e+04 
       3.523114495658e-02       1.592006935621e+04 
       3.539288861158e-02       1.585131431548e+04 
       3.555548242046e-02       1.578260792533e+04 
       3.571895221221e-02       1.571414083545e+04 
       3.588332482555e-02       1.564547476882e+04 
       3.604862816020e-02       1.557697918529e+04 
       3.621489123142e-02       1.550839313921e+04 
       3.638214422811e-02       1.543996640428e+04 
       3.655041857472e-02       1.537153985096e+04 
       3.671974699721e-02       1.530306018770e+04 
       3.689016359353e-02       1.523451377831e+04 
       3.706170390882e-02       1.516615510952e+04 
       3.723440501585e-02       1.509783418445e+04 
       3.740830560110e-02       1.502964846296e+04 
       3.758344605688e-02       1.496114347901e+04 
       3.775986858012e-02       1.489307913689e+04 
       3.793761727836e-02       1.482496225724e+04 
       3.811673828357e-02       1.475665003696e+04 
       3.829727987449e-02       1.468870416719e+04 
       3.847929260829e-02       1.462047747339e+04 
       3.866282946238e-02       1.455167665595e+04 
       3.884794598740e-02       1.448420130419e+04 
       3.903470047224e-02       1.441612812704e+04 
       3.922315412254e-02       1.434809296387e+04 
       3.941337125374e-02       1.428018808099e+04 
       3.960541950020e-02       1.421207261364e+04 
       3.979937004214e-02       1.414412211209e+04 
       3.999529785196e-02       1.407584024494e+04 
       4.019328196218e-02       1.400808061207e+04 
       4.039340575721e-02       1.393994369565e+04 
       4.059575729147e-02       1.387185260283e+04 
       4.080042963683e-02       1.380375545046e+04 
       4.100752126250e-02       1.373567638796e+04 
       4.121713645117e-02       1.366759789586e+04 
       4.142938575554e-02       1.359938608997e+04 
       4.164438649988e-02       1.353116648557e+04 
       4.186226333217e-02       1.346290237728e+04 
       4.208314883279e-02       1.339456316150e+04 
       4.230718418689e-02       1.332615833776e+04 
       4.253451992847e-02       1.325762642664e+04 
       4.276531676531e-02       1.318908912552e+04 
       4.299974649552e-02       1.312026635391e+04 
       4.323799302790e-02       1.305159561637e+04 
